Titre;Réalisateur;Date de sortie;Synopsis;Note Presse;Note Spectateurs;Score Recommandation;Amazon Prime Video;Canal VOD;Canal+;Disney+;Netflix;OCS;Paramount+;URL
Showgirls;Paul Verhoeven;10 janvier 1996;Sans famille, sans amis et sans argent, Nomi Malone débarque à Las Vegas pour réaliser son rêve : devenir danseuse. A peine arrivée, elle se fait voler sa valise par l'homme qui l'a prise en stop. Perdue dans la ville, Nomi doit son salut à Molly Abrams, costumière au «Cheetah», un cabaret réputé de la ville. Molly lui trouve un job de stripteaseuse dans une boîte où elle fait elle-même quelques extras. Cristal Connors, la vedette du «Cheetah», très attirée par Nomi, la fait engager dans son show où elle gravit rapidement les échelons. Dans les coulisses impitoyables de Vegas, Nomi devient très vite une rivale gênante.;2.6;--;31;;X;;;;X;;https://www.allocine.fr/film/fichefilm_gen_cfilm=13804.html
Un monde plus grand;Fabienne Berthaud;30 octobre 2019;Partie en Mongolie chez des éleveurs de rennes pour enregistrer des chants traditionnels, Corine pensait pouvoir surmonter la mort de Paul, son grand amour. Mais sa rencontre avec la chamane Oyun bouleverse son voyage, elle lui annonce qu’elle a reçu un don rare et doit être formée aux traditions chamaniques. De retour en France, elle ne peut refuser ce qui s’impose désormais à elle : elle doit repartir pour commencer son initiation… et découvrir un monde plus grand.;3.2;3.7;55;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=258264.html
Nicky Larson et le parfum de Cupidon;Philippe Lacheau;6 février 2019;Nicky Larson est le meilleur des gardes du corps, un détective privé hors-pair. Il est appelé pour une mission à hauts risques : récupérer le parfum de Cupidon, un parfum qui rendrait irrésistible celui qui l’utilise…;2.9;3.7;43;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=257514.html
Splash;Ron Howard;24 octobre 1984;Il y a bien des années, alors qu'il était encore un jeune garçon, Allen Bauer fut sauvée de la noyade par une sirène. Aujourd'hui, jeune adulte vivant à New York, il tombe une nouvelle fois à l'eau et c'est une nouvelle fois ce qu'il croit être une sirène qui le secourt. Bientôt, il va rencontrer son âme soeur, une femme dont il tombe amoureux, mais qui semble vouloir éviter l'eau à tout prix...;2.4;--;38;;;;X;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=38382.html
Steve Jobs;Danny Boyle;3 février 2016;Dans les coulisses, quelques instants avant le lancement de trois produits emblématiques ayant ponctué la carrière de Steve Jobs, du Macintosh en 1984 à l’iMac en 1998, le film nous entraîne dans les rouages de la révolution numérique pour dresser un portrait intime de l’homme de génie qui y a tenu une place centrale.;3.8;3.4;35;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=207616.html
Knock;Guy Lefranc;21 mars 1951;Voulant assurer le triomphe de la médecine qu’il fait passer avant l’intérêt des malades, le docteur KNOCK arrive à SAINT-MAURICE pour succéder au docteur PARPALAID dont la clientèle est rare, l’état de santé du pays étant excellent. Loin de se décourager, KNOCK fait comprendre à chaque patient qui se presse à ses consultations gratuites, que tout bien portant est un malade qui s’ignore. Le résultat ne se fait pas attendre et tout le village se retrouve au lit....;4.1;--;79;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=593.html
Le Dernier métro;François Truffaut;17 septembre 1980;Paris, septembre 1942. Lucas Steiner, le directeur du théâtre Montmartre a dû fuir parce qu’il est juif. Sa femme Marion Steiner dirige le théâtre et engage Bernard Granger, transfuge du Grand Guignol, pour jouer à ses côtés dans « la Disparue », que met en scène Jean-Louis Cottins. Jusqu’au soir de la générale, la troupe subit les menaces du virulent critique de « Je suis partout », Daxiat, dont l’ambition est de diriger la Comédie-Française. Et si, par amour pour sa femme, Lucas Steiner avait fait semblant de fuir la France et était resté caché dans la cave de son théâtre pendant toute la guerre….;3.3;4.0;64;;X;X;;;X;;https://www.allocine.fr/film/fichefilm_gen_cfilm=169.html
L'Île;Pavel Lungin;9 janvier 2008;Un monastère orthodoxe sur une île du nord de la Russie. Un moine perturbe la vie de sa congrégation par son comportement étrange. En effet, selon la rumeur, l'homme posséderait le pouvoir de guérir les malades, d'exorciser les démons et de prédire l'avenir... C'est en tout cas ce que croient les étrangers qui se rendent sur l'île. Mais le moine, qui souffre d'avoir commis une terrible faute dans sa jeunesse, se considère indigne de l'intérêt qu'il suscite...;2.7;3.6;?;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=123296.html
Cléo De 5 À 7;Agnès Varda;11 avril 1962;Cléo, belle et chanteuse, attend les résultats d'une analyse médicale. De la superstition à la peur, de la rue de Rivoli au Café de Dôme, de la coquetterie à l'angoisse, de chez elle au Parc Montsouris, Cléo vit quatre-vingt-dix minutes particulières. Son amant, son musicien, une amie puis un soldat lui ouvrent les yeux sur le monde.;4.1;--;56;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=1191.html
L'Affaire Thomas Crown;Norman Jewison;11 octobre 1968;Thomas Crown, un milliardaire divorcé, à la tête d’une grande banque de Boston, estime que sa vie d’homme riche ne lui procure plus aucune satisfaction. Afin de ressentir à nouveau le frisson de l’aventure, il prépare minutieusement, avec neuf complices, un fabuleux hold-up, qui laissera la police perplexe. Sa propre banque lui paraît être le meilleur endroit pour ses exploits. Le coup réussit à la perfection. Tandis que l’enquête menée par le commissaire Malone piétine, Thomas s’en va cacher son butin en Suisse. Il découvre alors que la compagnie d’assurances de sa banque lui a dépêché une redoutable enquêtrice, la ravissante et sagace Vicky Anderson…;3.8;--;70;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=38811.html
Diamants sur canapé;Blake Edwards;10 janvier 1962;Une croqueuse de diamants cherche à épouser un homme riche alors que son voisin écrivain s'intéresse à elle. La jolie Holly fait également en toute innocence le messager pour un truand notoire. Lorsque la police l'interroge, elle n'a aucun mal à prouver son innocence mais son futur époux, riche planteur brésilien, s'éloigne par peur du scandale. L'écrivain en profite pour consoler la belle.;4.5;4.0;73;;X;;;;;X;https://www.allocine.fr/film/fichefilm_gen_cfilm=2736.html
Péril en la demeure;Michel Deville;13 février 1985;David donne des cours de guitare à la fille de Julia et Graham. Dans cette demeure, il devient un pion d'un jeu mystérieux et cruel où le pouvoir se gagne par le charme et la manipulation. Mais dans cette partie serrée, qui piège qui ?...;3.1;--;46;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=60564.html
Association de malfaiteurs;Claude Zidi;3 juin 2020;Quatre camarades d'HEC. Si Thierry, Gérard et Francis ont brillament réussi, Daniel est à la traîne, accumulant les galères. Un jour, ses trois amis décident de lui faire une blague : lui faire croire qu'il a gagné au loto. Après le tirage, Daniel s'empresse de signer un gros contrat sans savoir qu'il s'agissait d'un canular. Le début de nombreux problèmes pour lui et ses camarades farceurs.;3.3;--;?;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=50831.html
Les Gardiens de la Galaxie;James Gunn;13 août 2014;Peter Quill est un aventurier traqué par tous les chasseurs de primes pour avoir volé un mystérieux globe convoité par le puissant Ronan, dont les agissements menacent l’univers tout entier. Lorsqu’il découvre le véritable pouvoir de ce globe et la menace qui pèse sur la galaxie, il conclut une alliance fragile avec quatre aliens disparates : Rocket, un raton laveur fin tireur, Groot, un humanoïde semblable à un arbre, l’énigmatique et mortelle Gamora, et Drax le Destructeur, qui ne rêve que de vengeance. En les ralliant à sa cause, il les convainc de livrer un ultime combat aussi désespéré soit-il pour sauver ce qui peut encore l’être …;3.8;4.2;Non disponible;;;;X;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=196604.html
Cinquante Nuances plus claires;James Foley;7 février 2018;Pensant avoir laissé derrière eux les ombres du passé, les jeunes mariés Christian et Ana profitent pleinement de leur relation tortueuse et partagent une vie de luxe. Mais alors qu’Anastasia commence tout juste à s’adapter à son nouveau rôle de Madame Grey et que Christian s’ouvre finalement à elle, de nouvelles menaces viennent mettre en péril leur vie commune avant même qu’elle n’ait débuté.;2.1;2.5;16;;X;;;X;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=209894.html
Seven Sisters;Tommy Wirkola;30 août 2017;2073. La Terre est surpeuplée. Le gouvernement décide d’instaurer une politique d’enfant unique, appliquée de main de fer par le Bureau d’Allocation des Naissances, sous l’égide de Nicolette Cayman. Confronté à la naissance de septuplées, Terrence Settman décide de garder secrète l’existence de ses 7 petites-filles. Confinées dans leur appartement, prénommées d’un jour de la semaine, elles devront chacune leur tour partager une identité unique à l’extérieur, simulant l’existence d’une seule personne : Karen Settman. Si le secret demeure intact des années durant, tout s’effondre le jour où Lundi disparait mystérieusement…;3.0;3.8;Non disponible;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=200686.html
L'Exorciste;William Friedkin;11 septembre 1974;L'actrice Chris McNeil est inquiète au sujet de sa fillette Regan : après que l'on ait entendu des bruits curieux venant de sa chambre, la petite a changé, proférant de constantes insanités. Une force para-normale l'habite, qui coûte la vie au metteur en scène de Chris. Désespérée, cette dernière fait appel à deux exorcistes...;3.3;4.0;45;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=27765.html
Un après-midi de chien;Sidney Lumet;30 janvier 1976;Par un chaud après-midi d'août 1972, trois hommes se lancent à l'assaut de la First Savings Bank, à Brooklyn. Armés et décidés, ils espèrent piller des coffres remplis de l'argent qui changera leur vie. Si l'un des malfrats préfère abandonner, Sonny et Sal parviennent à contraindre les employés de la banque à ouvrir le coffre. Mais celui-ci est quasiment vide. Saisis de stupeur, les deux complices n'ont plus d'autre choix que de maintenir le siège de la banque, la police ayant encerclé les lieux. Nul échappatoire possible, seuls leurs otages pourraient leur servir à sauver leur peau. A l'extérieur se pressent badauds et journalistes.;4.1;4.1;65;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=1621.html
Boogie Woogie;Duncan Ward;Non disponible;Boogie Woogie tourne autour de la vente de ce célèbre tableau de Piet Mondrian et met en scène les moeurs, les ambitions, les relations et les destins croisés d'artistes, de marchands d'art, de collectionneurs... qui évoluent dans le monde de l'art contemporain à Londres où la frontière entre succès et échec reste ténue.;3.3;--;Non disponible;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=140908.html
Toni Erdmann;Maren Ade;17 août 2016;Quand Ines, femme d’affaire d’une grande société allemande basée à Bucarest, voit son père débarquer sans prévenir, elle ne cache pas son exaspération. Sa vie parfaitement organisée ne souffre pas le moindre désordre mais lorsque son père lui pose la question « es-tu heureuse? », son incapacité à répondre est le début d'un bouleversement profond. Ce père encombrant et dont elle a honte fait tout pour l'aider à retrouver un sens à sa vie en s’inventant un personnage : le facétieux Toni Erdmann…;4.3;3.7;45;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=228026.html
Cloud Atlas;Lana Wachowski;13 mars 2013;À travers une histoire qui se déroule sur cinq siècles dans plusieurs espaces temps, des êtres se croisent et se retrouvent d’une vie à l’autre, naissant et renaissant successivement… Tandis que leurs décisions ont des conséquences sur leur parcours, dans le passé, le présent et l’avenir lointain, un tueur devient un héros et un seul acte de générosité suffit à entraîner des répercussions pendant plusieurs siècles et à provoquer une révolution. Tout, absolument tout, est lié.;3.4;3.9;33;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=143067.html
Rogue One: A Star Wars Story;Gareth Edwards (V);14 décembre 2016;Situé entre les épisodes III et IV de la saga Star Wars, le film nous entraîne aux côtés d’individus ordinaires qui, pour rester fidèles à leurs valeurs, vont tenter l’impossible au péril de leur vie. Ils n’avaient pas prévu de devenir des héros, mais dans une époque de plus en plus sombre, ils vont devoir dérober les plans de l’Étoile de la Mort, l’arme de destruction ultime de l’Empire.;3.7;4.1;Non disponible;;;;X;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=218395.html
Délivrance;John Boorman;1 octobre 1972;Quatre Américains de classe moyenne, Ed Gentry, Lewis Medlock, Bobby Trippe et Drew Ballinger décident de consacrer leur week-end à la descente en canöe d'une impétueuse rivière située au nord de la Géorgie. Ils envisagent cette expédition comme un dernier hommage à une nature sauvage et condamnée par la construction d'un futur barrage. Mais les dangers qu'ils affronteront ne proviendront pas uniquement des flots tumultueux de la rivière...;5.0;4.1;65;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=166.html
Incendies;Denis Villeneuve;12 janvier 2011;A la lecture du testament de leur mère, Jeanne et Simon Marwan se voient remettre deux enveloppes : l’une destinée à un père qu’ils croyaient mort et l‘autre à un frère dont ils ignoraient l’existence.Jeanne voit dans cet énigmatique legs la clé du silence de sa mère, enfermée dans un mutisme inexpliqué les dernières semaines précédant sa mort. Elle décide immédiatement de partir au Moyen Orient exhumer le passé de cette famille dont elle ne sait presque rien…Simon, lui, n’a que faire des caprices posthumes de cette mère qui s’est toujours montrée distante. Mais son amour pour sa sœur jumelle le poussera bientôt à rejoindre Jeanne et à sillonner avec elle le pays de leurs ancêtres sur la piste d’une mère bien loin de celle qu’ils ont connue.;3.8;4.3;64;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=179349.html
Rasta Rockett;Jon Turteltaub;13 avril 1994;L'histoire véridique de quatre Jamaïcains qui ont un rêve fou : obtenir une médaille d'or dans une discipline olympique qui leur est totalement inconnue et impossible à pratiquer chez eux : le bobsleigh !;3.0;3.8;59;;;;X;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=9895.html
Les Onze mille verges;Eric Lipmann;Non disponible;Une adaptation de l'oeuvre sulfureuse du poète Guillaume Appollinaire.;3.2;--;Non disponible;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=129205.html
Le fantôme de la liberté;Luis Buñuel;11 septembre 1974;"Film à sketches insolites et farfelus ponctués par des scènes de repression où l'on entend le cri ""A bas la liberté"". Lors de l'invasion de Tolède par les forces napoléniennes, un capitaine de dragons français baise la statue d'une femme agenouillée et est frappé d'un coup de poing par une autre statue, celle d'un chevalier. Un homme suspect dans un parc, remet à une fillette des cartes postales qui sont censées être des images pornographiques alors qu'elle ne représentent que des monuments célèbres de Paris.";4.0;--;46;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=3973.html
Les Sentiers de la gloire;Stanley Kubrick;26 mars 1975;"En 1916, durant la Première Guerre mondiale, le général français Broulard ordonne au général Mireau de lancer une offensive suicidaire contre une position allemande imprenable, surnommée ""La fourmilière"". Au moment de l'attaque, les soldats tombent par dizaines et leurs compagnons, épuisés, refusent d'avancer...";4.6;4.4;75;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=4499.html
De plus belle;Anne-Gaëlle Daval;8 mars 2017;Lucie est guérie, sa maladie est presque un lointain souvenir. Sa famille la pousse à aller de l’avant, vivre, voir du monde… C’est ainsi qu’elle fait la connaissance de Clovis, charmant… charmeur… et terriblement arrogant. Intrigué par sa franchise et sa répartie, Clovis va tout faire pour séduire Lucie, qui n’a pourtant aucune envie de se laisser faire. Au contact de Dalila, prof de danse haute en couleur, Lucie va réapprendre à aimer, à s’aimer, pour devenir enfin la femme qu’elle n’a jamais su être. Pour sa mère, pour sa fille, pour Clovis…;3.3;3.6;49;;X;;;;X;X;https://www.allocine.fr/film/fichefilm_gen_cfilm=248250.html
Pain et chocolat;Franco Brusati;12 février 2002;Nino, Italien déraciné vivant en Suisse, cherche désespérement du travail. Poursuivi par le mauvais sort, Nino l'immigré a bien du mal à assumer sa latinité.;3.8;--;?;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=27073.html
Moi, Daniel Blake;Ken Loach;26 octobre 2016;Palme d'Or au Festival de Cannes 2016Pour la première fois de sa vie, Daniel Blake, un menuisier anglais de 59 ans, est contraint de faire appel à l’aide sociale à la suite de problèmes cardiaques. Mais bien que son médecin lui ait interdit de travailler, il se voit signifier l'obligation d'une recherche d'emploi sous peine de sanction. Au cours de ses rendez-vous réguliers au « job center », Daniel va croiser la route de Katie, mère célibataire de deux enfants qui a été contrainte d'accepter un logement à 450km de sa ville natale pour ne pas être placée en foyer d’accueil. Pris tous deux dans les filets des aberrations administratives de la Grande-Bretagne d’aujourd’hui, Daniel et Katie vont tenter de s’entraider…;3.9;4.2;66;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=241697.html
Eros;Michelangelo Antonioni;6 juillet 2005;Variations en trois parties sur l'érotisme et le désir par trois maîtres du cinéma contemporain : Michelangelo Antonioni avec Le Périlleux enchaînement des choses, Steven Soderbergh avec Equilibre et Wong Kar-Wai avec La Main.;3.1;2.8;?;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=49300.html
Jusqu'au bout du rêve;Phil Alden Robinson;13 septembre 1989;"Dans l'Iowa, Ray Kinsella mène une paisible vie de fermier en compagnie de sa femme Annie et de leur fille Karin. Un soir, alors qu'il inspecte son champ, il entend une voix qui lui dit ""Si tu le construis, il viendra !"". Il décide alors de construire un terrain de baseball sur l'emplacement du champ. C'est alors qu'il voit surgir le fantôme de Joe Jackson, une ancienne gloire du baseball, le sport que préférait son père. Tandis que Joe et son équipe viennent s'entraîner sur son terrain, Ray entend à nouveau des voix. Cette fois, on lui demande d'aller sortir de sa retraite un écrivain célèbre, Terence Mann. Un film plein d'espoir et doté d'une belle distribution. Burt Lancaster y apparaît dans son dernier rôle au cinéma.";3.5;--;61;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=4965.html
Sunday in the Park with George;Non trouvé;Non disponible;Non disponible;Non disponible;Non disponible;Non disponible;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=57508.html
L'Odyssée;Jérôme Salle;12 octobre 2016;1948. Jacques-Yves Cousteau, sa femme et ses deux fils, vivent au paradis, dans une jolie maison surplombant la mer Méditerranée. Mais Cousteau ne rêve que d’aventure. Grâce à son invention, un scaphandre autonome qui permet de respirer sous l’eau, il a découvert un nouveau monde. Désormais, ce monde, il veut l’explorer. Et pour ça, il est prêt à tout sacrifier.;3.4;3.8;51;;X;;;;;X;https://www.allocine.fr/film/fichefilm_gen_cfilm=189535.html
Chappie;Neill Blomkamp;4 mars 2015;Dans un futur proche, la population, opprimée par une police entièrement robotisée, commence à se rebeller. Chappie, l’un de ces droïdes policiers, est kidnappé. Reprogrammé, il devient le premier robot capable de penser et ressentir par lui-même. Mais des forces puissantes, destructrices, considèrent Chappie comme un danger pour l’humanité et l’ordre établi. Elles vont tout faire pour maintenir le statu quo et s’assurer qu’il soit le premier, et le dernier, de son espèce.;3.3;3.7;35;X;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=189702.html
Vivre sa vie: Film en douze tableaux;Jean-Luc Godard;20 septembre 1962;Nana fréquente depuis quelques années Paul, un journaliste raté. Nana s’ennuie et voudrait changer de vie, même si elle éprouve encore de la tendresse pour Paul. Elle aimerait surtout résoudre ses problèmes d’argent. Un soir, elle accepte de suivre à l’hôtel un inconnu rencontré sur les Champs-Elysées et se livre à la prostitution…;5.0;3.9;39;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=68681.html
Captain America: Civil War;Anthony Russo;27 avril 2016;Steve Rogers est désormais à la tête des Avengers, dont la mission est de protéger l'humanité. À la suite d'une de leurs interventions qui a causé d'importants dégâts collatéraux, le gouvernement décide de mettre en place un organisme de commandement et de supervision. Cette nouvelle donne provoque une scission au sein de l'équipe : Steve Rogers reste attaché à sa liberté de s'engager sans ingérence gouvernementale, tandis que d'autres se rangent derrière Tony Stark, qui contre toute attente, décide de se soumettre au gouvernement...;3.2;3.9;37;;;;X;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=215143.html
Le Solitaire;Michael Mann;19 mai 1981;Après onze ans passés en prison, Frank, un talentueux voleur de bijoux, décide de se lancer dans un dernier coup avant de se ranger pour de bon avec son ami Jessie.;4.7;3.9;46;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=41777.html
Belle et Sébastien : L'aventure continue;Christian Duguay;9 décembre 2015;D'après l'oeuvre de Cécile Aubry : Septembre 1945. Au village, on a fêté la fin de la guerre. Sébastien a grandi, il a maintenant 10 ans. Belle et lui attendent impatiemment le retour d’Angelina... Mais Angelina ne revient pas. Elle a disparu dans un accident d’avion au cœur des forêts transalpines. Tout le village a perdu espoir. Tout le village sauf César : le grand père de Sébastien connaît un homme, Pierre, qui pourrait les aider à retrouver Angelina. Mais avant de sauver la jeune femme, l’enfant et son chien vont devoir braver mille dangers, traverser mille épreuves et affronter un secret. Un secret qui va changer la vie de Belle et de Sébastien à tout jamais. L’aventure continue...;2.8;3.8;48;;X;;;X;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=229128.html
Un + une;Claude Lelouch;9 décembre 2015;Antoine ressemble aux héros des films dont il compose la musique. Il a du charme, du succès, et traverse la vie avec autant d’humour que de légèreté. Lorsqu’il part en Inde travailler sur une version très originale de Roméo et Juliette, il rencontre Anna, une femme qui ne lui ressemble en rien, mais qui l’attire plus que tout. Ensemble, ils vont vivre une incroyable aventure…;3.4;3.1;40;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=228049.html
Entre les jambes;Manuel Gomez Pereira;22 janvier 2009;Tout semble aller pour le mieux pour Javier, un jeune et talentueux scénariste-producteur, jusqu'au jour ou il accepte d'entrer dans le jeu d'une relation érotique au téléphone. Un jeu fatal qui le sépare de sa femme. Plus tard, il recontre Miranda, animatrice à la radio, lors d'une séance de sexotherapie de groupe. Attirés l'un par l'autre, ils vont faire l'amour dans une voiture, abandonnée sur un parking, dans le coffre de laquelle repose un cadavre.;3.0;2.6;?;X;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=20406.html
La Loi du marché;Stéphane Brizé;19 mai 2015;Depuis que son usine a fermé, Thierry, 51 ans, marié et père d'un adolescent handicapé, recherche désespérément du travail pour boucler les fins de mois. Lancé dans une quête éperdue, il suit vaillamment des formations qui ne le mènent à rien et enchaîne sans succès les rendez-vous. Pris à la gorge, il accepte un poste de vigile dans un hypermarché. La longue routine de la surveillance commence, avec son lot de petites gens, clients comme employés, que son travail consiste à repérer et à dénoncer, souvent pour des larcins véniels, voire inexistants.À 51 ans, après 20 mois de chômage, Thierry commence un nouveau travail qui le met bientôt face à un dilemme moral. Pour garder son emploi, peut-il tout accepter ?;3.8;3.3;46;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=233913.html
L'Ennui;Cédric Kahn;16 décembre 1998;Martin, professeur de philosophie a l'universite, en pleine depression, rencontre dans des circonstances etranges Cecilia, a l'origine de la mort d'un vieux peintre. Il va vivre avec cette jeune fille, qui oscille entre purete et indifference, une passion charnelle et orageuse et malgre lui prendre la place du vieux peintre. Son ancienne compagne devient une confidente un peu cruelle et la spectatrice privilegiee de cette passion qui detruit une a une ses certitudes.;4.1;2.3;?;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=17885.html
Ken Park;Larry Clark;8 octobre 2003;Un tableau provocant d'adolescents américains de classe moyenne qui trompent leur ennui avec du sexe, de la violence et de la perversion à Visalia, une petite ville de Californie. Leurs parents sont pour la plupart médiocres, aveugles, méprisants et alcooliques.;3.9;2.8;20;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=47472.html
Innocents - The Dreamers;Bernardo Bertolucci;10 décembre 2003;Isabelle et son frère Théo, restés seuls à Paris pendant les vacances de leurs parents, invitent chez eux Matthew, un étudiant américain. Dans cet appartement où ils sont livrés à eux-mêmes, ils vont fixer les règles d'un jeu qui les amènera à explorer leur identitéémotionnelle et sexuelle. Au fil des heures, la partie s'intensifie, les sens et les esprits s'exacerbent.Avec pour toile de fond la France déchirée de Mai 68, reflet d'une jeunesse dont la voix résonne dans toute l'Europe, The Dreamers est un voyage initiatique : celui detrois adolescents testant leurs propres limites pour enfin se trouver.;3.3;3.3;34;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=42949.html
Emmanuelle au 7ème ciel;Francis Leroi;20 octobre 1993;Les nouvelles aventures coquines de la sensuelle Emmanuelle.;1.7;--;?;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=44652.html
L'année des méduses;Christopher Frank;14 novembre 1984;Chris, une adolescente de 16 ans joue de son corps sur la côte de Saint-Tropez. Elle vit mal la rupture avec Romain, un ami de ses parents et souhaite le reconquérir. N'y arrivant pas, elle va s'aventurer vers des jeux dangereux de séductions...;2.5;--;34;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=41100.html
Fleur secrète;Masaru Konuma;30 juillet 2008;"La sublime épouse d'un PDG refuse de se soumettre aux fantasmes de son mari. Frustré, ce dernier demande à l'un de ses employés modèles, dont la mère fut, après la Seconde Guerre mondiale, une ""maîtresse"" réputée, de l'initier à des plaisirs interdits.";3.9;2.0;?;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=133872.html
La Vie secrète de Madame Yoshino;Masaru Konuma;26 juillet 2006;Mme Yoshino est la fille d'un accessoiriste du théâtre Kabuki. Elle est belle, élégante et est passée maître dans l'art de faire des poupées de papier traditionnelles qui représentent des personnages célèbres du Kabuki.Mais elle est veuve, son mari étant décédé six mois après leur mariage. Depuis, elle vit avec sa fille Takako, adolescente en mal d'amour et jalouse de la beauté de sa mère.Un jour, Mme Yoshino et sa fille rencontrent Hideo, qui n'est autre que le fils de l'acteur qui a violé Mme Yoshino dans son adolescence. Une rivalité naît entre la mère et la fille, toutes deux désormais amoureuses de Hideo.;4.1;3.3;?;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=111211.html
Réalité;Quentin Dupieux;18 février 2015;Jason Tantra, un cameraman placide, rêve de réaliser son premier film d'horreur. Bob Marshall, un riche producteur, accepte de financer son film à une seule condition : Jason a 48 heures pour trouver le meilleur gémissement de l'histoire du cinéma…;3.6;3.6;25;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=204027.html
Mais qui a tué Pamela Rose ?;Eric Lartigau;4 juin 2003;Agents du FBI, Bullit et Riper enquêtent sur le meurtre de la jeune strip-teaseuse Pamela Rose, retrouvée assassinée dans une chambre d'hôtel à Bornsville, une petite ville américaine sans histoires. Tout les oppose et pourtant ils doivent faire équipe : Bullit est un homme de terrain aux méthodes peu banales, tandis que Riper est un instructeur consciencieux, prêt à assurer sa première enquête.Confrontés à une police locale plutôt hostile, ces deux agents maladroits et déjantés vont devoir arrêter le ou les meurtriers. Au fil de leurs recherches, Bullit et Riper font la connaissance de Ginger, la meilleure amie de Pamela Rose. Ils s'aperçoivent rapidement qu'elle en sait plus que ce qu'elle veut en dire...;2.8;2.6;34;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=47702.html
La Graine et le mulet;Abdellatif Kechiche;12 décembre 2007;Sète, le port. Monsieur Beiji, la soixantaine fatiguée, se traîne sur le chantier naval du port dans un emploi devenu pénible au fil des années. Père de famille divorcé, s'attachant à rester proche des siens, malgré une histoire familiale de ruptures et de tensions que l'on sent prêtes à se raviver, et que les difficultés financières ne font qu'exacerber, il traverse une période délicate de sa vie où tout semble contribuer à lui faire éprouver un sentiment d'inutilité. Une impression d'échec qui lui pèse depuis quelque temps, et dont il ne songe qu'à sortir en créant sa propre affaire : un restaurant. Seulement, rien n'est moins sûr, car son salaire insuffisant et irrégulier, est loin de lui offrir les moyens de son ambition. Ce qui ne l'empêche pas d'en rêver, d'en parler, en famille notamment. Une famille qui va peu à peu se souder autour d'un projet, devenu pour tous le symbole d'une quête de vie meilleure. Grâce à leur sens de la débrouille, et aux efforts déployés, leur rêve va bientôt voir le jour... Ou, presque...;4.7;3.4;40;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=61185.html
